"","total_cup_points","species","owner","country_of_origin","farm_name","lot_number","mill","ico_number","company","altitude","region","producer","number_of_bags","bag_weight","in_country_partner","harvest_year","grading_date","owner_1","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","moisture","category_one_defects","quakers","color","category_two_defects","expiration","certification_body","certification_address","certification_contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"802",82,"Arabica","lin, che-hao krude <U+6797><U+54F2><U+8C6A>","Taiwan","you siang coffee farmtainan, taiwan <U+53F0><U+7063><U+53F0><U+5357><U+512A><U+9999><U+5496><U+5561>",NA,"you siang coffee farmtainan, taiwan <U+53F0><U+7063><U+53F0><U+5357><U+512A><U+9999><U+5496><U+5561>","Taiwan","red on tree co., ltd.","600m","dongshan dist., tainan city <U+81FA><U+5357><U+5E02><U+6771><U+5C71><U+5340>","Chen Jin Lin <U+9673><U+91D1><U+7498>",50,"20 kg","Specialty Coffee Association","2013","July 22nd, 2014","Lin, Che-Hao Krude <U+6797><U+54F2><U+8C6A>","Typica","Washed / Wet",7.33,7.5,7.17,7.42,7.5,7.33,10,10,10,7.75,0.09,0,0,"Green",0,"July 22nd, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",600,600,600
"803",82,"Arabica","doi tung development project","Thailand",NA,NA,"doi tung development project","10704180","doi tung development project","800++","thailand","Doi Tung Development Project",1,"1 kg","Specialty Coffee Association","2013","June 20th, 2014","Doi Tung Development Project",NA,"Washed / Wet",7.58,7.5,7.42,7.42,7.33,7.42,10,10,10,7.33,0.11,0,0,"Green",0,"June 20th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",800,800,800
"804",82,"Arabica","eric thormaehlen","Costa Rica","various",NA,"coricafe sa","5-0048-0144","coricafe s.a.","1200-1400","central valley","VARIOS",250,"1 kg","Specialty Coffee Association of Costa Rica","2013","June 9th, 2014","Eric Thormaehlen","Catuai","Washed / Wet",7.5,7.25,7.33,7.33,7.75,7.5,10,10,10,7.33,0.1,0,0,"Green",4,"June 9th, 2015","Specialty Coffee Association of Costa Rica","8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1","5eb2b7129d9714c43825e44dc3bca9423de209e9","m",1200,1400,1300
"805",82,"Arabica","beneficio santa rosa","Honduras","bsr",NA,"beneficio santa rosa s.a.","13-123-306","beneficio santa rosa s.a.","1400 m.s.n.m.","occidental","BSR",275,"69 kg","Instituto Hondureño del Café","2014","April 30th, 2014","Beneficio Santa Rosa","Caturra","Washed / Wet",7.33,7.33,7.33,7.5,7.5,7.83,10,10,10,7.17,0.11,0,0,"Green",5,"April 30th, 2015","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1400,1400,1400
"806",82,"Arabica","racafe & cia s.c.a","Colombia",NA,NA,NA,"3-37-2863","racafe & cia s.c.a","1800 - 2000","huila",NA,250,"70 kg","Almacafé","2013","September 13th, 2013","Racafe & Cia S.C.A","Caturra","Washed / Wet",7.33,7.33,7.58,7.5,7.5,7.58,10,10,10,7.17,0.11,0,0,"Green",1,"September 13th, 2014","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1800,2000,1900
"807",82,"Arabica","lin, che-hao krude <U+6797><U+54F2><U+8C6A>","Taiwan","gao chun fang <U+9AD8><U+9187><U+574A>",NA,"gao chun fang <U+9AD8><U+9187><U+574A>","Taiwan","red on tree co., ltd.","600-700 m","dongshan dist., tainan city <U+81FA><U+5357><U+5E02><U+6771><U+5C71><U+5340>","Lin Huang, A-Mien <U+9EC3><U+963F><U+7DBF>",30,"10 kg","Specialty Coffee Association","2012","June 3rd, 2013","Lin, Che-Hao Krude <U+6797><U+54F2><U+8C6A>","Typica","Washed / Wet",7.42,7.58,7.33,7.42,8,7.5,9.33,10,10,7.42,0.12,0,0,"Bluish-Green",0,"June 3rd, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",600,700,650
"808",82,"Arabica","owen carver","Brazil","café do paraíso",NA,"café do paraíso","??","café do paraíso","894m - 1183m","minas gerais, br","Café do Paraíso",1,"2 kg","Specialty Coffee Association","2012","May 21st, 2013","Owen Carver","Mundo Novo","Natural / Dry",7.33,7.67,7.42,7.17,7.33,7.42,10,10,10,7.67,0.11,0,0,"Blue-Green",0,"May 21st, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",894,1183,1038.5
"809",82,"Arabica","jorge octavio escamilla prado","Mexico","la ceiba",NA,NA,"1104355254",NA,"940","coscomatepec","JORGE OCTAVIO ESCAMILLA PRADO",15,"1 kg","AMECAFE","2012","July 11th, 2012","JORGE OCTAVIO ESCAMILLA PRADO","Typica","Washed / Wet",7.67,7.33,7.25,7.5,7.42,7.42,10,10,10,7.42,0.12,0,0,"Green",1,"July 11th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",940,940,940
"810",82,"Arabica","nucoffee","Brazil","campo das flores",NA,NA,"002/1251/0237","nucoffee","1000m","south of minas","Vander Bonaccorsi",50,"60 kg","NUCOFFEE","2012","June 4th, 2012","NUCOFFEE","Mundo Novo","Natural / Dry",7.42,7.5,7.33,7.5,7.33,7.5,10,10,10,7.42,0.12,0,0,"Green",1,"June 4th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1000,1000,1000
"811",82,"Arabica","nucoffee","Brazil","são josé da lagoa",NA,NA,"002/1251/0240","nucoffee","1050m","cerrado","José Hiroiti",75,"60 kg","NUCOFFEE","2012","April 11th, 2012","NUCOFFEE","Catuai","Semi-washed / Semi-pulped",7.42,7.5,7.25,7.5,7.5,7.42,10,10,10,7.42,0.11,0,0,"Blue-Green",1,"April 11th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1050,1050,1050
"812",82,"Arabica","juan luis alvarado romero","Guatemala","el faro",NA,NA,"11/08/1990","elfasa, s.a.",NA,"san marcos","PAUL STAUDER",250,"1 kg","Asociacion Nacional Del Café","2012","March 26th, 2012","Juan Luis Alvarado Romero","Bourbon","Natural / Dry",7.33,7.33,7.33,7.5,7.67,7.67,10,10,10,7.17,0.11,0,0,"Green",3,"March 26th, 2013","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","m",NA,NA,NA
"813",82,"Arabica","nucoffee","Brazil","santa mariana/são vicente",NA,NA,"001/1251/0253","nucoffee","950m","south of minas","Maria da Gloria Junqueira",53,"60 kg","NUCOFFEE","2012","February 17th, 2012","NUCOFFEE","Mundo Novo","Semi-washed / Semi-pulped",7.58,7.5,7.17,7.5,7.5,7.42,10,10,10,7.33,0.12,0,0,"Green",2,"February 16th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",950,950,950
"814",82,"Arabica","felipe isaza","Guatemala","conquista / morito",NA,"beneficio ixchel","11/23/0238","coffee resources inc.","4600 ft.","oriente","Conquista/Morito",250,"2 kg","Specialty Coffee Association","2012","February 1st, 2012","Felipe Isaza","Bourbon","Washed / Wet",7.75,7.33,7.33,7.42,7.75,7.67,10,10,9.33,7.42,0,0,0,"Green",10,"January 31st, 2013","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",1402.08,1402.08,1402.08
"815",82,"Arabica","racafe & cia s.c.a","Colombia",NA,NA,NA,"3-37-2782",NA,"de 1.600 a 1.950 msn","huila","Grupo Monserrate, La Plata",150,"70 kg","Almacafé","Mayo a Julio","July 29th, 2011","Racafe & Cia S.C.A","Caturra",NA,7.33,7,7.08,7.42,7.5,7.67,10,10,10,8,0.07,0,0,NA,2,"July 28th, 2012","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1600,1950,1775
"816",81.92,"Arabica","juan luis alvarado romero","Guatemala","la esperanza","11/23/0633","beneficio ixchel","11/23/0633","unex guatemala, s.a.","1901","oriente","AGRICOLA EL PILAR, S.A.",25,"69 kg","Asociacion Nacional Del Café","2017","August 22nd, 2017","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.58,7.5,7.25,7.58,7.58,7.5,9.33,10,10,7.58,0.1,0,0,"Green",1,"August 22nd, 2018","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","m",1901,1901,1901
"817",81.92,"Arabica","juan luis alvarado romero","Guatemala","las delicias","11/23/0515","beneficio ixchel","11/23/0515","unex guatemala, s.a.","4000","santa rosa","OTTO BECKER",50,"69 kg","Asociacion Nacional Del Café","2017","June 22nd, 2017","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.42,0.11,0,2,"Green",0,"June 22nd, 2018","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1219.2,1219.2,1219.2
"818",81.92,"Arabica","bismarck castro","Honduras","los hicaques","63","cigrah s.a de c.v.","13-111-022","cigrah s.a de c.v","1400","comayagua","Reinerio Zepeda",274,"67 kg","Instituto Hondureño del Café","2017","June 1st, 2017","Bismarck Castro","Caturra","Washed / Wet",7.58,7.5,7.25,7.33,7.42,7.5,10,10,10,7.33,0.12,0,0,"Green",1,"June 1st, 2018","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1400,1400,1400
"819",81.92,"Arabica","gabriel barbara","Brazil","santa bárbara","2016/0002","copag","02 / 143-0 / 0044","volcafe ltda.","1020","monte carmelo","Múcio Cardoso",305,"59 kg","Brazil Specialty Coffee Association","2016 / 2017","October 26th, 2016","Gabriel Barbara","Catuai","Natural / Dry",7.42,7.33,7.33,7.5,7.5,7.33,10,10,10,7.5,0.11,0,0,"Green",4,"October 26th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1020,1020,1020
"820",81.92,"Arabica","consejo salvadoreño del café","El Salvador","la esperanza",NA,"san miguel","09-032-86","consejo salvadoreño del café","1250","el balsamo, quezaltepec","Comercial Exportadora, S.A. de C.V.",275,"69 kg","Salvadoran Coffee Council","2014","May 5th, 2015","Consejo Salvadoreño del Café","Bourbon","Washed / Wet",7.67,7.58,7.33,7.5,7.5,7.67,10,10,9.33,7.33,0.11,0,0,"Green",2,"May 4th, 2016","Salvadoran Coffee Council","3d4987e3b91399dbb3938b5bdf53893b6ef45be1","27b21e368fb8291cbea02c60623fe6c98f84524d","m",1250,1250,1250
"821",81.92,"Arabica","juan luis alvarado romero","Guatemala","las cebollas y anexos",NA,"la conquista","11-973-59","asociación nacional del café - anacafe -","1300 a 1800 mtrs. a nivel del mar","nuevo oriente","OVIDIO CARDONA",275,"69 kg","Asociacion Nacional Del Café","2015","April 20th, 2015","Juan Luis Alvarado Romero","Catuai","Washed / Wet",7.58,7.58,7.17,7.83,7.17,7.33,10,10,10,7.25,0.11,0,0,"Green",7,"April 19th, 2016","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","m",1300,1800,1550
"822",81.92,"Arabica","mcomafa co ltd","Tanzania, United Republic Of","mcomafa farm no1155gr",NA,"mcomafa","C13","mcomafa co. ltd","1877","mbeya","Mcomafa",114,"60 kg","Africa Fine Coffee Association","2014","January 6th, 2015","Mcomafa Co Ltd","Other","Washed / Wet",7.33,7.33,7.33,7.42,7.5,7.58,10,10,10,7.42,0.12,0,0,"Green",4,"January 6th, 2016","Africa Fine Coffee Association","073285c0d45e2f5539012d969937e529564fa6fe","c4ab13415cdd69376a93780c0166e7b1a10481ea","m",1877,1877,1877
"823",81.92,"Arabica","chris finch","Nicaragua",NA,NA,NA,"17/176/0125B","volcafe specialty coffee",NA,NA,NA,275,"5 lbs","Specialty Coffee Association","2013","July 29th, 2014","Chris Finch",NA,"Washed / Wet",7.58,7.42,7.25,7.17,7.5,7.67,10,10,10,7.33,0.12,3,0,"Green",4,"July 29th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",NA,NA,NA
"824",81.92,"Arabica","lusso lab","Zambia","mubuyu munali",NA,NA,"-","lusso coffee lab","1000-1500m","mubuyu estate",NA,13,"2 kg","Specialty Coffee Association","2014","June 20th, 2014","LUSSO LAB","SL28","Washed / Wet",7.67,7.08,7.42,7.33,7.75,7.42,10,10,10,7.25,0,1,0,NA,3,"June 20th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1000,1500,1250
"825",81.92,"Arabica","rob tuttle","Honduras",NA,NA,NA,"13-137-004","thrive farmers",NA,NA,NA,1,"2 kg","Specialty Coffee Association","2012","January 17th, 2014","Rob Tuttle",NA,"Washed / Wet",7.42,7.33,7.33,7.58,7.33,7.5,10,10,10,7.42,0.11,0,0,"Green",0,"January 17th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",NA,NA,NA
"826",81.92,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","dragon coffee <U+9F8D><U+5496><U+5561>",NA,"dragon coffee <U+9F8D><U+5496><U+5561>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","1000 m","taichung xinshe <U+53F0><U+4E2D><U+5E02><U+65B0><U+793E><U+5340>","Chen gui jiao <U+9673><U+6842><U+5B0C>",35,"30 kg","Blossom Valley International","2012","December 26th, 2013","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Other",7.5,7.5,7.42,7.25,7.5,7.5,10,10,10,7.25,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",1000,1000,1000
"827",81.92,"Arabica","calixto guillen vazquez","Mexico","various",NA,"productores de cafes especiales sc","2406","finca triunfo verde, s.c.","1300","chiapas","VARIOS PRODUCTORES",450,"1 kg","AMECAFE","2013","March 29th, 2013","CALIXTO GUILLEN VAZQUEZ","Bourbon","Washed / Wet",7.58,7.5,7.25,7.58,7.5,7.25,10,10,10,7.25,0.12,0,0,"Green",6,"March 29th, 2014","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1300,1300,1300
"828",81.92,"Arabica","saul m. hernandez ramirez","Mexico","platanal",NA,"en el plan de guadalupe","1700920709",NA,"981","chapulhuacan, hidalgo","PONCE RUBIO, VENANCIO",10,"1 kg","AMECAFE","2012","September 27th, 2012","SAUL M. HERNANDEZ RAMIREZ","Typica","Semi-washed / Semi-pulped",7.5,7.5,7.25,7.25,7.5,7.5,10,10,10,7.42,0.13,2,0,"None",7,"September 27th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",981,981,981
"829",81.92,"Arabica","saul m. hernandez ramirez","Mexico","texpanco",NA,"en chiatipan, municipio de huazalingo","1702772190",NA,"690","huazalingo, hidalgo","FRANCISCO SAENZ, FERNANDO",10,"1 kg","AMECAFE","2012","September 27th, 2012","SAUL M. HERNANDEZ RAMIREZ","Mundo Novo","Washed / Wet",7.5,7.42,7.25,7.5,7.33,7.33,10,10,10,7.58,0.14,2,0,"None",8,"September 27th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",690,690,690
"830",81.92,"Arabica","juan hermilio sampieri carcamo","Mexico","la laja",NA,"la laja pinillos veracruz","1104402366",NA,"1650","veracruz","JUAN HERMILIO SAMPIERI CARCAMO",30,"1 kg","AMECAFE","2012","July 11th, 2012","JUAN HERMILIO SAMPIERI CARCAMO","Other","Washed / Wet",7.33,7.58,7.17,7.58,7.42,7.33,10,10,10,7.5,0.12,0,0,"Green",4,"July 11th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1650,1650,1650
"831",81.92,"Arabica","modesto landeros flores","Mexico","mata larga",NA,"finca mata larga","0",NA,"1000","fortín de las flores","MODESTO LANDEROS FLORES",62,"1 kg","AMECAFE","2012","July 11th, 2012","MODESTO LANDEROS FLORES","Bourbon","Washed / Wet",7.67,7.42,7.33,7.83,7.5,7.5,9.33,10,10,7.33,0.12,0,0,"Green",0,"July 11th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1000,1000,1000
"832",81.92,"Arabica","nucoffee","Brazil","sitío corrego da olaria/são caetano",NA,NA,"002/1241/0244","nucoffee","1100m","grama valley","Fioravante Malagutti",8,"60 kg","NUCOFFEE","2012","February 29th, 2012","NUCOFFEE","Mundo Novo","Natural / Dry",7.42,7.58,7.25,7.5,7.33,7.5,10,10,10,7.33,0.12,0,0,"Green",3,"February 28th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1100,1100,1100
"833",81.92,"Arabica","exportadora de cafe condor s.a","Colombia",NA,NA,"trilladora bonanza - armenia quindio","3-068-141",NA,"1600 m.s.n.m","cundinamarca","Exportadora de Café Cóndor S.A",250,"70 kg","Almacafé","4T/2010","February 1st, 2011","Exportadora de Cafe Condor S.A",NA,NA,7.67,7.33,7.33,7.58,7.33,7.33,10,10,10,7.33,0.09,0,0,NA,1,"February 1st, 2012","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1600,1600,1600
"834",81.83,"Arabica","juan luis alvarado romero","Guatemala","la esmeralda","11/23/0634","beneficio ixchel","11/23/0634","unex guatemala, s.a.","518","oriente","JESUS RAMIREZ",25,"69 kg","Asociacion Nacional Del Café","2017","August 22nd, 2017","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.42,7.5,7.25,7.5,7.33,7.42,10,10,10,7.42,0.1,1,0,"Green",1,"August 22nd, 2018","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",157.8864,157.8864,157.8864
"835",81.83,"Arabica","troy quimby","Costa Rica","estate la patricia","LP-C211-182","micro beneficio la cabaña-javier meza",NA,"bold coast coffee","1900","tarrazu","Manuel Montero",15,"46 kg","Specialty Coffee Association","2016","February 13th, 2017","Troy Quimby","Catuai","Pulped natural / honey",7.25,7.33,7.5,7.33,7.67,7.42,10,10,10,7.33,0,1,0,"Green",4,"February 13th, 2018","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1900,1900,1900
"836",81.83,"Arabica","gabriel barbara","Brazil","helena","2017/001","copag","02/0143-0/0292","volcafe ltda.","973","monte carmelo","Helena Pingnatti Ricci",200,"59 kg","Brazil Specialty Coffee Association","2016","January 20th, 2017","Gabriel Barbara","Mundo Novo","Natural / Dry",7.42,7.5,7.42,7.5,7.42,7.25,10,10,10,7.33,0.11,0,1,"Green",3,"January 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",973,973,973
"837",81.83,"Arabica","aulia arif syahri","Indonesia","mudar","BALI INTEN DEWATA","pt. olam indonesia","015/1969/008","pt. olam indonesia","1250","bali","MUDAR",166,"30 kg","Specialty Coffee Association","2015","January 19th, 2017","Aulia Arif Syahri","Other","Other",7.75,7.83,7.58,7.75,7.92,7.83,10,10,10,5.17,0.11,0,1,"Green",0,"January 19th, 2018","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1250,1250,1250
"838",81.83,"Arabica","juan luis alvarado romero","Guatemala","chapultepec","11/23/0507","beneficio ixchel","11/23/0507","unex guatemala, s.a.","3280","norte","CHAPULTEPEC",130,"69 kg","Asociacion Nacional Del Café","2015","August 2nd, 2016","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.58,7.5,7.33,7.42,7.58,7.25,10,10,10,7.17,0.1,2,0,"Green",6,"August 2nd, 2017","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","m",3280,3280,3280
"839",81.83,"Arabica","ipanema coffees","Brazil","rio verde",NA,"ipanema comercial e exportadora sa","002/4177/0150","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.17,7.58,6.83,7.5,7.75,7.25,10,10,10,7.75,0,0,0,"Green",1,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"840",81.83,"Arabica","ipanema coffees","Brazil","rio verde",NA,"ipanema comercial e exportadora sa","002/4177/0164","ipanema coffees","1","south of minas","Ipanema Agrícola SA",300,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.58,7,6.92,6.92,7.67,7.5,10,10,10,8.25,0,0,0,"Green",0,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"841",81.83,"Arabica","u mg mg","Myanmar","wat-ka-bu",NA,NA,"unspecified",NA,"4001","ywar ngan","U Mg Mg",1,"2 kg","Coffee Quality Institute","2015","July 17th, 2015","U Mg Mg","Catuai","Washed / Wet",7.33,7.58,7.5,7.42,7.33,7.33,10,10,10,7.33,0,0,0,"Green",2,"July 16th, 2016","Coffee Quality Institute","1d4c7f93129f9fb1c8a5f0ce0e36cc1cf4c2f4d7","0f62c9236e3ff5c4921da1e22a350aa99482779d","m",4001,4001,4001
"842",81.83,"Arabica","viridiana","Mexico","rancho bonito",NA,"rancho bonito",NA,"agroindustrias unidas de mexico sa de cv","1350-1500","chiapas","MARTINIANO A. MORENO ALVARADO",250,"2 kg","Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.","2015","June 25th, 2015","VIRIDIANA","Catuai","Washed / Wet",7.58,7.5,7.33,7.5,7.17,7.33,10,10,10,7.42,0.11,0,0,"Green",7,"June 24th, 2016","Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.","3441698871fa609a44ce947e8944ee42eb4428b9","9894541e8065ee718165a1d432389d114defc38c","m",1350,1500,1425
"843",81.83,"Arabica","cadexsa","Honduras","cerro bueno",NA,"cadexsa","13-63-301","cadexsa","1400 msnm","marcala","JOSE OMAR ACOSTA",275,"1 kg","Instituto Hondureño del Café","2015","May 12th, 2015","CADEXSA","Catuai","Washed / Wet",7.5,7.5,7.33,7.5,7.42,7.25,10,10,10,7.33,0.12,0,0,"Green",1,"May 11th, 2016","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1400,1400,1400
"844",81.83,"Arabica","cafetalera internacional cafinter, s.a.","Costa Rica","el patalillo",NA,"el patalillo","5-019-0118","cafetalera internacional cafinter, s.a.","1200-1400 masl","tres rios","JOSE FRANCISCO GONZALEZ",275,"18975 kg","Specialty Coffee Association of Costa Rica","2015","May 7th, 2015","CAFETALERA INTERNACIONAL CAFINTER, S.A.","Caturra","Washed / Wet",7.67,7.5,7.5,7.25,7.08,7.42,10,10,10,7.42,0.09,0,0,"Green",0,"May 6th, 2016","Specialty Coffee Association of Costa Rica","8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1","5eb2b7129d9714c43825e44dc3bca9423de209e9","m",1200,1400,1300
"845",81.83,"Arabica","lin, che-hao krude <U+6797><U+54F2><U+8C6A>","Taiwan","gao chun fang <U+9AD8><U+9187><U+574A>",NA,"gao chun fang <U+9AD8><U+9187><U+574A>","Taiwan","taiwan coffee laboratory","700m","dongshan dist., tainan city <U+81FA><U+5357><U+5E02><U+6771><U+5C71><U+5340>","LIN SIN JI <U+6797><U+4FE1><U+5409>",8,"5 kg","Specialty Coffee Association","2014","April 30th, 2015","Lin, Che-Hao Krude <U+6797><U+54F2><U+8C6A>","Typica","Washed / Wet",7.67,7.33,7.17,7.25,7.75,7.33,10,10,10,7.33,0,0,0,"Green",0,"April 29th, 2016","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",700,700,700
"846",81.83,"Arabica","essencecoffee","Indonesia","dozen small farmer",NA,NA,"15041753","essence coffee","1300m","lington nihuta",NA,300,"10 kg","Blossom Valley International","2014","March 21st, 2015","EssenceCoffee","Typica","Other",7.42,7.42,7.42,7.33,7.42,7.42,10,10,10,7.42,0.11,2,0,"None",6,"March 20th, 2016","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",1300,1300,1300
"847",81.83,"Arabica","afca","Malawi","kakoma",NA,"mzuzu coffee coop union","2","mzuzu coffee planters coop union","1556m","kakoma","Mzuzu Coffee Coop Union",24,"60 kg","Africa Fine Coffee Association","2014","October 31st, 2014","AFCA","Gesha","Washed / Wet",7.58,7.42,7.33,7.33,7.33,7.42,10,10,10,7.42,0.13,0,0,"Green",0,"October 31st, 2015","Africa Fine Coffee Association","073285c0d45e2f5539012d969937e529564fa6fe","c4ab13415cdd69376a93780c0166e7b1a10481ea","m",1556,1556,1556
"848",81.83,"Arabica","ipanema coffees","Brazil","rio verde",NA,"ipanema coffees","002/1660/0065","ipanema coffees","1100","south of minas","Ipanema Agrícola SA",320,"2 kg","Specialty Coffee Association","2014/2015","October 15th, 2014","Ipanema Coffees","Bourbon","Natural / Dry",7.33,7.58,7.25,7.17,7.83,7.33,10,10,10,7.33,0.11,0,0,"Green",0,"October 15th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1100,1100,1100
